Company_ID,Goodwill,ESG_Score,Log_Asset_Total,Asset_Turnover,Year_2005,Year_2006,Year_2007,Year_2008,Year_2009,Year_2010,Year_2011,Year_2012,Year_2013,Year_2014,Year_2015,Year_2016,Year_2017,Year_2018,Year_2019,Year_2020,Year_2021,Year_2022,Year_2023
1,6703601.323657705,50.574528376042075,16.626632573070008,1.378491458624304,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,8094650.739321812,58.78407361939322,11.281488613924118,1.7273136829180389,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,7309518.096744006,91.0549819446697,13.884300504696439,0.2699945966636322,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,3009214.708671553,80.62014510050538,16.009366111694174,0.2230502279504312,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,6274399.198686776,78.7428380016371,15.273853433609133,1.0329828717014191,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,4536319.694612732,94.67161072274513,17.059412536031815,1.4990566603257112,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,9752968.979320625,53.05500143073337,13.270523432635345,1.9774880965440558,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,8417693.61073724,89.67675144635845,14.557279919210835,1.8349826406746366,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,5979457.165706063,96.7523917137306,14.220901750496061,1.4624530077957625,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,5383471.081621392,94.80217937045639,13.683148018533023,0.7958301676628144,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,1163397.9998050237,12.487255261643359,12.054287764330937,0.3478819932183125,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,6737896.62929246,23.37605391485569,16.891834410847537,1.0336528554624735,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
