Pred1,Pred2,Pred3,Pred4,Pred5,Pred6,Target
0.9588495375719134,0.21616728478779368,0.10683044565192257,0.556158173842718,0.7013224282840971,0.5130049811329447,3.5856806419886738
0.5345011190729049,0.23593232956611598,0.6470410042609277,0.38550167967162496,0.48714766336809545,0.7398407126447769,3.3897039411072054
0.297906920140499,0.08727129649102516,0.7764846388097739,0.29553709550594487,0.6214829102125171,0.1315368146660415,2.40900768575001
0.8695802581856621,0.84634014562489,0.6404180104458146,0.45291925885277995,0.46779236036984095,0.31231074321689967,4.906751984442244
0.974877361797065,0.8808964257831879,0.23321189896054173,0.4587121646965052,0.5784575071418571,0.150313252704389,4.637226869061088
0.8731306684592613,0.7570727717629995,0.15721330357995744,0.3213224538403451,0.33471487330144045,0.6092050457981367,4.052277621299592
0.3183430627938535,0.11383134591139543,0.02652950625186956,0.45334367735940784,0.6137240480822261,0.5043087533638474,1.5717393062082254
0.9269043758544074,0.42891654036462745,0.3423933105316529,0.8823424658622414,0.38148274035975105,0.09661274911265927,4.084209806551566
0.2723576757730859,0.8018083285263862,0.6276707789817111,0.8352201035937888,0.7053543263803075,0.38664685880143634,4.778990960014411
0.5830233459142169,0.06687005152495762,0.6643928696032677,0.728345325025079,0.21857904774955073,0.5038045302192455,3.377592726385215
0.39044616158491074,0.09640398914422887,0.748423564396361,0.9624140291768911,0.45542997507502603,0.84179376114673,4.779599486483538
0.6564059143525097,0.9444850573577256,0.7390810202512225,0.42648816944093193,0.6261540539063648,0.3695222237533742,5.391250045327572
0.8655295449346929,0.2976843657247137,0.30116860371476906,0.3797165493304835,0.8704036526553112,0.6777955584105667,3.864596389383466
0.2260770869189832,0.5841366847543611,0.954012721885745,0.5720611116084543,0.59152358577302,0.9131458455000252,5.6207274249445565
0.2762094373009033,0.26820362221520033,0.618239654497384,0.732425452824063,0.08333586561434125,0.3362785857508821,2.7275036203301766
